strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
RR,1,89,0.017940199335548173,1.34,67,4.029850746268656
RR,1,90,0.027840531561461795,2.36,118,3.5508474576271185
RR,1,91,0.05169435215946844,2.92,146,5.328767123287672
RR,1,92,0.02152823920265781,1.34,67,4.835820895522388
RR,1,93,0.022724252491694352,1.82,91,3.758241758241758
RR,1,94,0.037807308970099665,2.32,116,4.905172413793103
RR,1,95,0.02770764119601329,2.54,127,3.283464566929134
RR,1,96,0.03461794019933555,2.44,122,4.270491803278689
RR,1,97,0.014019933554817276,0.76,38,5.552631578947368
RR,1,98,0.018538205980066447,1.9,95,2.9368421052631577
RR,1,99,0.007840531561461793,0.82,41,2.8780487804878048
TR,1,0,0.008970099667774087,0.78,39,3.4615384615384617
TR,1,1,0.02777408637873754,2.48,124,3.370967741935484
TR,1,2,0.011096345514950166,1.24,62,2.693548387096774
TR,1,3,0.01441860465116279,1.48,74,2.9324324324324325
TR,1,4,0.004119601328903655,0.62,31,2.0
TR,1,5,0.012956810631229236,1.16,58,3.3620689655172415
TR,1,6,0.010697674418604652,1.28,64,2.515625
TR,1,7,0.012624584717607974,1.68,84,2.261904761904762
TR,1,8,0.014551495016611295,1.56,78,2.8076923076923075
TR,1,9,0.025647840531561463,1.92,96,4.020833333333333
TR,1,10,0.007308970099667774,0.88,44,2.5
TR,1,11,0.015415282392026579,1.38,69,3.36231884057971
TR,1,12,0.007707641196013289,0.84,42,2.761904761904762
TR,1,13,0.01893687707641196,1.5,75,3.8
TR,1,14,0.007906976744186046,1.22,61,1.9508196721311475
TR,1,15,0.009501661129568106,0.82,41,3.4878048780487805
TR,1,16,0.007973421926910298,0.9,45,2.6666666666666665
TR,1,17,0.019269102990033222,2.02,101,2.871287128712871
TR,1,18,0.009568106312292358,1.16,58,2.4827586206896552
TR,1,19,0.009634551495016611,0.94,47,3.0851063829787235
TR,1,20,0.005049833887043189,0.68,34,2.235294117647059
TR,1,21,0.013820598006644518,1.12,56,3.7142857142857144
TR,1,22,0.011627906976744186,1.08,54,3.240740740740741
TR,1,23,0.008903654485049834,0.96,48,2.7916666666666665
TR,1,24,0.02079734219269103,2.04,102,3.0686274509803924
TR,1,25,0.010564784053156147,0.88,44,3.6136363636363638
TR,1,26,0.023654485049833886,1.9,95,3.7473684210526317
TR,1,27,0.005714285714285714,0.76,38,2.263157894736842
TR,1,28,0.01707641196013289,1.6,80,3.2125
