eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank
0.86,0.03,0.01,0.9,0.1,3,0.7422222222222222,0.10000000000000002,13142.444444444443,176.23276289682542,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.20444444444444443,539.3333333333321,-14.364596349187565,0.06444444444444453,214.8888888888887,-0.5560648571029958,539.3333333333321,0.0,0.05,0.05000000000000002,21
0.84,0.02,0.01,0.75,0.1,3,0.7377777777777778,0.06666666666666667,13302.666666666666,177.97440972222225,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,699.5555555555547,-12.622949523790737,0.06000000000000005,375.1111111111113,1.1855819682938318,699.5555555555547,0.0,0.05,0.016666666666666663,22
0.84,0.03,0.01,0.75,0.1,3,0.7377777777777778,0.06666666666666667,13303.333333333334,179.21560645828364,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,700.2222222222226,-11.38175278772934,0.06000000000000005,375.7777777777792,2.426778704355229,700.2222222222226,0.0,0.05,0.016666666666666663,23
0.86,0.02,0.03,0.9,0.1,3,0.7377777777777778,0.09333333333333334,13161.333333333334,176.58994708994712,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,558.2222222222226,-14.007412156065868,0.06000000000000005,233.7777777777792,-0.19888066398129922,558.2222222222226,0.0,0.05,0.043333333333333335,24
0.86,0.03,0.03,0.9,0.1,3,0.7377777777777778,0.09333333333333334,13167.555555555555,177.8626984126984,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,564.4444444444434,-12.734660833314592,0.06000000000000005,240.0,1.0738706587699767,564.4444444444434,0.0,0.05,0.043333333333333335,25
0.86,0.03,0.02,0.9,0.1,3,0.7377777777777778,0.10000000000000002,13150.888888888889,176.81092592592594,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,547.7777777777774,-13.786433320087042,0.06000000000000005,223.33333333333394,0.02209817199752706,547.7777777777774,0.0,0.05,0.05000000000000002,26
0.86,0.02,0.02,0.9,0.1,3,0.7377777777777778,0.10000000000000002,13151.555555555555,175.69256613756613,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19999999999999996,548.4444444444434,-14.904793108446853,0.06000000000000005,224.0,-1.096261616362284,548.4444444444434,0.0,0.05,0.05000000000000002,27
0.84,0.04,0.01,0.75,0.1,3,0.7355555555555555,0.06666666666666667,13307.77777777778,179.2357033148634,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19777777777777772,704.6666666666679,-11.361655931149585,0.05777777777777782,380.22222222222445,2.446875560934984,704.6666666666679,0.0,0.05,0.016666666666666663,28
0.86,0.04,0.03,0.9,0.1,3,0.7355555555555555,0.08666666666666667,13186.0,178.7770177970178,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19777777777777772,582.8888888888887,-11.82034144899518,0.05777777777777782,258.44444444444525,1.9881900430893893,582.8888888888887,0.0,0.05,0.03666666666666667,29
0.86,0.04,0.02,0.9,0.1,3,0.7355555555555555,0.09333333333333334,13160.0,177.04570466570468,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19777777777777772,556.8888888888887,-13.551654580308309,0.05777777777777782,232.44444444444525,0.25687691177625993,556.8888888888887,0.0,0.05,0.043333333333333335,30
