strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,103,3494744169553416929,gateway_calibration,sweep:anomaly_pair:shared_scenarios,697.9852609896634,113,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,104,7233638741406416371,gateway_calibration,sweep:anomaly_pair:shared_scenarios,652.1914788205644,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,105,3641336694656935735,gateway_calibration,sweep:anomaly_pair:shared_scenarios,561.2082037339426,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,106,3835715673444251126,gateway_calibration,sweep:anomaly_pair:shared_scenarios,658.0867286583133,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,107,2714185319899586904,gateway_calibration,sweep:anomaly_pair:shared_scenarios,764.525095726811,132,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,108,7065677078823521164,gateway_calibration,sweep:anomaly_pair:shared_scenarios,702.1066355428718,134,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,109,1054405605846734754,gateway_calibration,sweep:anomaly_pair:shared_scenarios,761.169290542813,132,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,110,2962441662239683096,gateway_calibration,sweep:anomaly_pair:shared_scenarios,734.1904474066573,129,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,111,4129263628419206857,gateway_calibration,sweep:anomaly_pair:shared_scenarios,810.2409639429626,110,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,112,1622360177596404131,gateway_calibration,sweep:anomaly_pair:shared_scenarios,501.1530914643712,102,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,113,2330463691884836340,gateway_calibration,sweep:anomaly_pair:shared_scenarios,730.1470574067321,149,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,114,2652712276700624970,gateway_calibration,sweep:anomaly_pair:shared_scenarios,596.9716765581172,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,115,6210151626445176008,gateway_calibration,sweep:anomaly_pair:shared_scenarios,684.6066973355574,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,116,5484880361464436307,gateway_calibration,sweep:anomaly_pair:shared_scenarios,573.8326005054352,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,117,9083936004600730053,gateway_calibration,sweep:anomaly_pair:shared_scenarios,643.991546534872,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
