eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank,pfa_tolerance,pfa_feasible,detection_gain_vs_both,relative_C_H1_vs_RR,max_relative_traffic_overhead_vs_RR,traffic_competitive_vs_RR,robust_success,robust_rank
0.85,0.02,0.03,0.9,0.1,3,0.7044444444444444,0.0666666666666666,13448.444444444443,180.94604341736687,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1666666666666666,845.3333333333339,-9.651315828646062,0.0266666666666667,520.8888888888905,4.157215663438507,845.3333333333339,0.0,0.05,0.0166666666666666,54,0.03,True,True,0.04029291436036697,0.05,True,True,31
0.84,0.03,0.01,0.9,0.1,3,0.7733333333333334,0.0933333333333333,12773.333333333334,172.8908080808081,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2355555555555556,170.22222222222263,-17.70655116520487,0.0955555555555557,-154.2222222222208,-3.8980196731203023,170.22222222222263,0.0,0.05,0.0433333333333333,1,0.03,False,True,-0.011929728057207711,0.05,True,False,32
0.84,0.04,0.01,0.9,0.1,3,0.7733333333333334,0.0933333333333333,12784.22222222222,173.3641414141414,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2355555555555556,181.1111111111095,-17.23321783187157,0.0955555555555557,-143.33333333333394,-3.424686339787001,181.1111111111095,0.0,0.05,0.0433333333333333,2,0.03,False,True,-0.01108742737305346,0.05,True,False,33
0.84,0.03,0.02,0.9,0.1,3,0.7688888888888888,0.0866666666666666,12752.222222222224,173.10988005050504,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.231111111111111,149.11111111111313,-17.487479195507944,0.0911111111111111,-175.3333333333303,-3.678947703423376,149.11111111111313,0.0,0.05,0.0366666666666666,3,0.03,False,True,-0.013562759995874307,0.05,True,False,34
0.84,0.04,0.02,0.9,0.1,3,0.7688888888888888,0.0866666666666666,12777.77777777778,173.80670454545452,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.231111111111111,174.66666666666788,-16.790654700558463,0.0911111111111111,-149.77777777777555,-2.982123208473894,174.66666666666788,0.0,0.05,0.0366666666666666,4,0.03,False,True,-0.011585931859593557,0.05,True,False,35
0.84,0.03,0.03,0.9,0.1,3,0.7666666666666666,0.0866666666666666,12767.77777777778,174.01367965367967,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2288888888888888,164.66666666666788,-16.58367959233331,0.0888888888888889,-159.77777777777555,-2.7751481002487424,164.66666666666788,0.0,0.05,0.0366666666666666,5,0.03,False,True,-0.012359473304225266,0.05,True,False,36
0.84,0.04,0.03,0.9,0.1,3,0.7644444444444444,0.0866666666666666,12812.888888888889,174.8727557655802,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2266666666666665,209.77777777777737,-15.72460348043279,0.0866666666666666,-114.66666666666606,-1.9160719883482216,209.77777777777737,0.0,0.05,0.0366666666666666,6,0.03,False,True,-0.008869941898442701,0.05,True,False,37
0.86,0.02,0.01,0.75,0.1,3,0.7555555555555555,0.1,13203.333333333334,176.202691574533,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2177777777777777,600.2222222222226,-14.394667671479992,0.0777777777777778,275.7777777777792,-0.5861361793954245,600.2222222222226,0.0,0.05,0.05,7,0.03,False,True,0.021332554061952003,0.05,True,False,38
0.86,0.02,0.02,0.75,0.1,3,0.7533333333333333,0.0933333333333333,13213.555555555557,177.04236851092892,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2155555555555555,610.4444444444453,-13.55499073508406,0.0755555555555556,286.0000000000018,0.2535407570005077,610.4444444444453,0.0,0.05,0.0433333333333333,9,0.03,False,True,0.022123285316464347,0.05,True,False,39
0.86,0.02,0.03,0.75,0.1,3,0.7533333333333333,0.0933333333333333,13220.666666666666,178.38505179872496,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.2155555555555555,617.5555555555547,-12.212307447288026,0.0755555555555556,293.1111111111113,1.5962240447965428,617.5555555555547,0.0,0.05,0.0433333333333333,10,0.03,False,True,0.022673359232646684,0.05,True,False,40
