strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,83,726333036876873047,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,547.5635293587341,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,84,1514817278626261067,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,118,535.3671108304507,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,85,3317087628463341655,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,112,518.1100460476265,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,86,7419991104545920415,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,102,590.6562987994298,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,87,8450532150538690303,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,126,634.243330989602,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,88,2342843629069381586,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,133,688.4371788518295,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,89,7498646524692472735,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,642.9838826392757,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,90,251150932040658662,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,665.656906171165,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,91,7531563222751120521,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,647.6389822518436,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,92,425096693690444293,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,122,595.2257830830797,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,93,1400033971108312678,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,119,689.6349817023394,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,94,6356540359468835968,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,117,666.2521792472064,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,95,8529534714100195831,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,146,750.8693865836076,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,96,8695859923624215306,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,141,726.416148327545,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,97,144942717518357862,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,225.0,136,858.8494601183888,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,98,6856198267899099668,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,260.0,129,781.8249872354577,0.03,0.012,0.84,0.02,0.01,0.75
