strategy,state_h1,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence
RR,1,0,0,inf,inf,19,7.7088747677442075
RR,1,0,0,inf,inf,36,12.834093507753956
RR,1,0,1,inf,13.0,22,18.418719516274788
RR,1,0,0,inf,inf,97,15.682990199889819
RR,1,0,0,inf,inf,82,13.096457185687674
RR,1,0,0,inf,inf,30,7.833604189560578
RR,1,0,0,inf,inf,11,16.366471680426887
RR,1,0,0,inf,inf,69,14.697570963187061
RR,1,0,0,inf,inf,65,12.645567976347927
RR,1,0,0,inf,inf,67,13.92746973322645
RR,1,0,0,inf,inf,73,14.249058255426448
RR,1,0,0,inf,inf,90,15.083704755696763
RR,1,0,0,inf,inf,33,8.06648854205903
RR,1,1,0,251.0,251.0,90,20.462034124451716
RR,1,0,0,inf,inf,67,16.366920992433048
RR,1,0,0,inf,inf,66,13.926078303736055
RR,1,0,0,inf,inf,51,11.826752049032457
RR,1,0,0,inf,inf,77,15.692402548185878
RR,1,0,1,inf,14.0,42,17.551804819766794
RR,1,0,0,inf,inf,32,10.334694755042204
RR,1,0,0,inf,inf,41,11.684503933237629
RR,1,0,0,inf,inf,10,5.777413690002406
RR,1,0,0,inf,inf,51,12.969530147285528
RR,1,0,0,inf,inf,74,14.891553705893795
RR,1,0,1,inf,7.0,74,22.882187557120176
RR,1,0,0,inf,inf,45,8.473509693685639
RR,1,0,0,inf,inf,45,8.200643506312279
RR,1,0,0,inf,inf,83,15.7683806536
RR,1,0,0,inf,inf,45,11.154493891077454
RR,1,1,0,117.0,117.0,29,19.508905182315473
RR,1,0,0,inf,inf,55,14.042495480242387
RR,1,0,0,inf,inf,32,11.837028531110725
RR,1,0,0,inf,inf,36,8.617355869362516
RR,1,0,0,inf,inf,58,12.171154591136986
RR,1,0,0,inf,inf,68,12.147124506414617
RR,1,0,0,inf,inf,46,9.652095190298152
RR,1,0,0,inf,inf,53,11.53567072575289
RR,1,0,0,inf,inf,33,11.083009509302176
RR,1,0,0,inf,inf,84,13.76608992607836
RR,1,0,0,inf,inf,28,9.578330487551195
RR,1,0,0,inf,inf,60,12.169858453069212
